"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - enopredmetna smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Bančni in finančni management";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovodenje in organizacija";"Ni členitve";"IZREDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Mednarodno poslovanje";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Trženje";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Računovodstvo in revizija";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Bančni in finančni management";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Bančni in finančni management";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Poslovna informatika";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovodenje in organizacija";"Ni členitve";"IZREDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
